"Vertrouwen in mensen en in organisaties; persoonskenmerken"
"";"";"Onderwerpen";"Vertrouwen in andere mensen";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties"
"Onderwijsniveau: havo, vwo, mbo";"Waarde";"2012";"57.8";"30.6";"61.0";"69.3";"30.5";"67.1";"34.8";"42.2";"42.3";"46.1";"37.5"
"Onderwijsniveau: havo, vwo, mbo";"Waarde";"2013";"58.1";"28.1";"63.8";"70.3";"31.1";"67.8";"29.1";"39.3";"35.7";"41.6";"32.4"
"Onderwijsniveau: havo, vwo, mbo";"Waarde";"2014";"55.5";"28.9";"63.0";"67.1";"29.5";"65.4";"30.8";"39.5";"36.7";"41.1";"33.0"
"Onderwijsniveau: havo, vwo, mbo";"Waarde";"2015";"58.1";"28.3";"66.0";"67.7";"29.2";"68.5";"32.0";"39.8";"35.5";"39.6";"33.0"
"Onderwijsniveau: havo, vwo, mbo";"Waarde";"2016";"59.4";"29.0";"66.5";"70.2";"28.8";"68.6";"33.4";"41.4";"35.8";"36.7";"32.5"
"Onderwijsniveau: havo, vwo, mbo";"Waarde";"2017";"59.3";"29.7";"66.4";"71.9";"29.5";"74.0";"37.1";"43.7";"40.6";"40.7";"40.5"
"Onderwijsniveau: hbo, wo bachelor";"Waarde";"2012";"76.8";"29.4";"61.0";"81.6";"33.6";"74.2";"45.7";"49.3";"35.9";"45.9";"46.8"
"Onderwijsniveau: hbo, wo bachelor";"Waarde";"2013";"74.9";"26.2";"63.4";"79.4";"34.1";"72.9";"38.9";"45.4";"29.1";"38.2";"37.7"
"Onderwijsniveau: hbo, wo bachelor";"Waarde";"2014";"76.8";"27.0";"65.5";"81.6";"33.7";"75.6";"42.5";"45.9";"31.2";"38.2";"41.2"
"Onderwijsniveau: hbo, wo bachelor";"Waarde";"2015";"76.6";"27.6";"67.8";"81.0";"32.3";"74.1";"40.7";"48.2";"29.7";"38.1";"40.5"
"Onderwijsniveau: hbo, wo bachelor";"Waarde";"2016";"76.1";"29.9";"67.1";"82.4";"34.7";"77.8";"46.9";"46.7";"31.5";"35.9";"40.4"
"Onderwijsniveau: hbo, wo bachelor";"Waarde";"2017";"77.7";"29.8";"67.3";"84.3";"34.8";"79.4";"49.8";"49.9";"33.4";"37.3";"50.0"
"Onderwijsniveau: wo, master, doctor";"Waarde";"2012";"85.0";"29.9";"63.7";"88.8";"38.4";"76.4";"53.1";"59.1";"32.8";"48.3";"56.1"
"Onderwijsniveau: wo, master, doctor";"Waarde";"2013";"81.1";"28.0";"63.7";"84.8";"38.8";"76.4";"48.8";"54.9";"26.3";"39.5";"53.7"
"Onderwijsniveau: wo, master, doctor";"Waarde";"2014";"82.4";"28.9";"64.3";"84.5";"40.9";"77.2";"51.3";"55.8";"28.7";"39.7";"53.7"
"Onderwijsniveau: wo, master, doctor";"Waarde";"2015";"84.6";"32.0";"68.2";"87.0";"40.5";"78.3";"51.2";"57.4";"28.9";"39.4";"49.4"
"Onderwijsniveau: wo, master, doctor";"Waarde";"2016";"85.5";"30.4";"69.9";"87.3";"42.0";"79.1";"54.2";"56.9";"28.1";"38.2";"50.8"
"Onderwijsniveau: wo, master, doctor";"Waarde";"2017";"84.7";"30.3";"70.6";"87.0";"46.1";"83.6";"58.3";"58.0";"33.2";"37.9";"60.0"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 5-6-2018"
